"año";"sector";"actividad";"subactividad";"categoria";"gei";"emisiones";"unidad"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Fertilizantes sintéticos";"N2O";"3.21";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Fertilizantes sintéticos";"N2O";"1.04";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en pastizales";"CH4";"1.05";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en pastizales";"N2O";"0.77";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en suelos cultivados";"CH4";"0.08";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en suelos cultivados";"N2O";"0.03";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en tierras forestales";"CH4";"1.74";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Quema de biomasa en tierras forestales";"N2O";"2.39";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Residuos de cosecha";"N2O";"5.94";"MtCO2eq"
"2005";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Uso de Suelos";"Uso de Suelos";"Residuos de cosecha";"N2O";"1.34";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"CO2";"8.12";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"N2O";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción de electricidad y calor como actvidad principal";"CH4";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción de electricidad y calor como actvidad principal";"CO2";"26.61";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción de electricidad y calor como actvidad principal";"N2O";"0.03";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"CO2";"3.95";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"CO2";"0.1";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Hierro y acero";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Hierro y acero";"CO2";"8.4";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Hierro y acero";"N2O";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"CO2";"4.05";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"CO2";"0.06";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Metales no ferrosos";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Metales no ferrosos";"CO2";"1.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Metales no ferrosos";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Minerales no metálicos ";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Minerales no metálicos ";"CO2";"2.92";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Minerales no metálicos ";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Procesamiento de alimentos, bebidas y tabaco";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Procesamiento de alimentos, bebidas y tabaco";"CO2";"2.62";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Procesamiento de alimentos, bebidas y tabaco";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Productos químicos";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Productos químicos";"CO2";"1.46";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Productos químicos";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Pulpa, papel e imprenta";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Pulpa, papel e imprenta";"CO2";"0.79";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Pulpa, papel e imprenta";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"CO2";"0.2";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Agricultura/Silvicultura/Pesca/Piscifactorías";"CH4";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Agricultura/Silvicultura/Pesca/Piscifactorías";"CO2";"12.08";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Agricultura/Silvicultura/Pesca/Piscifactorías";"N2O";"0.03";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Comercial/institucional";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Comercial/institucional";"CO2";"3.97";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Comercial/institucional";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Residencial";"CH4";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Residencial";"CO2";"21.22";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Otros sectores ";"Residencial";"N2O";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Aviación civil cabotaje";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Aviación civil cabotaje";"CO2";"1.14";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Aviación civil cabotaje";"N2O";"0.01";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Ferrocarriles";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Ferrocarriles";"CO2";"0.19";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Ferrocarriles";"N2O";"0.02";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Navegación marítima y fluvial nacional";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Navegación marítima y fluvial nacional";"CO2";"0.31";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Navegación marítima y fluvial nacional";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Otro tipo de transporte";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Transporte terrestre por carretera";"CH4";"0.32";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Transporte terrestre por carretera";"CO2";"37.44";"MtCO2eq"
"2005";"Energía";"Actividades de quema de combustible ";"Transporte ";"Transporte terrestre por carretera";"N2O";"0.77";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Minería carbonífera y manejo de carbón";"CH4";"0.09";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Otras Gas natural";"CH4";"6.2";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Otras Gas natural";"CO2";"0.01";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Otras Petróleo";"CH4";"0.28";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Otras Petróleo";"CO2";"0.05";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Otras Petróleo";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Gas Natural";"CH4";"0";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Gas Natural";"CO2";"0.25";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Gas Natural";"N2O";"0";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Petróleo";"CH4";"0.02";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Petróleo";"CO2";"1.85";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Quema en antorcha Petróleo";"N2O";"0.01";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Venteo Gas Natural";"CH4";"0.16";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Venteo Gas Natural";"CO2";"3.16";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Venteo Petróleo";"CH4";"0.68";"MtCO2eq"
"2005";"Energía";"Emisiones fugitivas provenientes de la fabricación de combustibles ";"Emisiones Fugitivas";"Venteo Petróleo";"CO2";"0";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los metales ";"Otros Industrias de los Metales";"Otros Industrias de los Metales";"SF6";"0";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los metales ";"Producción de aluminio";"Producción de aluminio";"CO2";"0.42";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los metales ";"Producción de aluminio";"Producción de aluminio";"PFC";"0.11";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los metales ";"Producción de hierro y acero";"Producción de hierro y acero";"CO2";"5.76";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los minerales ";"Otros Industria de los minerales ";"Otros Industria de los minerales ";"CO2";"0.07";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los minerales ";"Producción de cal";"Producción de cal";"CO2";"2.78";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria de los minerales ";"Producción de cemento";"Producción de cemento";"CO2";"3.38";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción de ácido nítrico";"Producción de ácido nítrico";"N2O";"0.1";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción de amoníaco";"Producción de amoníaco";"CO2";"1.36";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción de carburo";"Producción de carburo";"CO2";"0.14";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción de ceniza de sosa";"Producción de ceniza de sosa";"CO2";"0.15";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción fluoroquímica";"Producción fluoroquímica";"HFC";"0.17";"MtCO2eq"
"2005";"Procesos industriales y uso de productos";"Industria química ";"Producción petroquímica y de negro de humo";"Producción petroquímica y de negro de humo";"CH4";"0.06";"MtCO2eq"
"2005";"Residuos";"Aguas Residuales";"Aguas residuales domésticas";"Aguas residuales domésticas";"CH4";"2.83";"MtCO2eq"
"2005";"Residuos";"Aguas Residuales";"Aguas residuales domésticas";"Aguas residuales domésticas";"N2O";"0.7";"MtCO2eq"
"2005";"Residuos";"Aguas Residuales";"Aguas residuales Industriales";"Aguas residuales Industriales";"CH4";"3.14";"MtCO2eq"
"2005";"Residuos";"Incineración de residuos";"Incineración de residuos";"Incineración de residuos";"CO2";"";"MtCO2eq"
"2005";"Residuos";"Residuos Sólidos";"Eliminación de residuos sólidos";"Eliminación de residuos sólidos";"CH4";"6.65";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Bovinos de Carne";"CH4";"66.89";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Bovinos Lecheros";"CH4";"4.82";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Otras Ganaderías";"CH4";"3.49";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos";"N2O";"0";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos de Carne";"CH4";"1.22";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos de Carne";"N2O";"0.1";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos Lecheros";"CH4";"0.04";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Otras Ganaderías";"CH4";"0.23";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Otras Ganaderías";"N2O";"0.01";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Pastizales que permanecen como tales";"CO2";"0.58";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Suelos cultivados convertidos en pastizales";"CO2";"";"MtCO2eq"
"2006";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Tierras forestales convertidas en pastizales";"CO2";"33.48";"MtCO2eq"
